genus,species,common name,body mass (kg),log10 body mass,hr,units,hr1,log10hr,habitat,usable,order corrected,Source,,
Mesocricetus,auratus,syrian hamster,0.12,-0.920818754,407,bpm,407,2.609594409,land,yes,rodentia,"Mortola, 2015; Refinetti and Menaker, 1993; Merck, 2012",Tables 1 and 2,
Miopithecus,talapoin,talopoin monkey,1.02,0.008600172,344,bpm,344,2.536558443,land,yes,primates,"Mortola, 2015; Wassenaar, 1993","Tables 1 and 2, sedated",
Mirounga,leonina,southern elephant seal,1973,3.295127085,53,bpm,53,1.72427587,aquatic,yes,carnivora,"Mortola, 2015; Salwicka and Stonehouse, 2000",Tables 1 and 2,
Mirounga,angustirostris,northern elephant seal,668.37375,2.825019385,66.00625,bpm,66.00625,1.81958506,aquatic,yes,carnivora,"Andrews et al., 1997; Mortola, 2015; Bartholomew, 1954; Le Boeuf et al., 2000",,
Mus,musculus,mouse,0.02503636,-1.601428812,551.054545,bpm,551.054545,2.741194589,land,yes,rodentia,"Mortola, 2015; Gehrmann et al., 2000; Tankersley et al., 2002; Smith and Wahrenbrock 1974",,
Mustela,lutreola,european mink,0.7,-0.15490196,222,bpm,222,2.346352974,aquatic,yes,carnivora,"Mortola, 2015; Tumanov and Sorina, 1999",Tables 1 and 2,
Mustela,eversmanii,steppe polecat,1.5,0.176091259,257,bpm,257,2.409933123,land,yes,carnivora,"Mortola, 2015; Tumanov and Sorina, 1999",Tables 1 and 2,
Mustela,putorius,european polecat,1,0,282,bpm,282,2.450249108,land,yes,carnivora,"Mortola, 2015; Tumanov and Sorina, 1999",Tables 1 and 2,
Myocastor,coypus,nutria,8,0.903089987,140,bpm,140,2.146128036,land,yes,rodentia,"Mortola, 2015; McKean, 1982",Tables 1 and 2,
Neovison,vison,mink,0.93,-0.031517051,250.08,bpm,250.08,2.398078961,aquatic,yes,carnivora,"Mortola, 2015; Gilbert and Gofton, 1982; Stephenson et al.. 1988",,
Nyctophilus,gouldi,gould's long-eared bat,0.009,-2.045757491,530,bpm,530,2.72427587,land,yes,chiroptera,"Mortola, 2015; Currie et al., 2014",Tables 1 and 2,10
Odobenus,rosmarus,walrus,929.727273,2.968355571,40.9090909,bpm,40.9090909,1.611819829,aquatic,yes,carnivora,"Mortola, 2015; Lyamin et al., 2013; Bertelsen, Acquarone, and Born 2006",,
Odocoileus,hemionus,mule deer,72,1.857332496,57.7,bpm,57.7,1.761175813,land,yes,artiodactyla,"Mortola, 2015; Weisenberger et al., 1996",Tables 1 and 2,
Ondatra,zibethicus,muskrat,1.3,0.113943352,225,bpm,225,2.352182518,aquatic,yes,rodentia,"Mortola, 2015; Gilbert and Gofton, 1982",Tables 1 and 2,0 and 12
Orcinus,orca,killer whale/orca,2369.09,3.37458156,47.8727,bpm,47.8727,1.680087922,aquatic,yes,artiodactyla,"Bickett and Tift, 2019; Fahlman unpublished; Mortola, 2015; Spencer et al., 1967; Spencer, Gornall III, and Poulter 1967",,
Ornithorhynchus,anatinus,platypus,1.6,0.204119983,145,bpm,145,2.161368002,aquatic,yes,monotremata,"Mortola, 2015; Evans et al., 1994",Tables 1 and 2,
Oryctolagus,cuniculus,european rabbit,3.05,0.484299839,244,bpm,244,2.387389826,land,yes,lagomorpha,"Mortola, 2015; Akita et al., 2002; Merck, 2012",Tables 1 and 2,
Oryx,gazella,gemsbuck,120,2.079181246,47,bpm,47,1.672097858,land,yes,artiodactyla,"Mortola, 2015; Wassenaar, 1993","Tables 1 and 2, sedated",
Ovibos,moschatus,muskox,265,2.423245874,57.5,bpm,57.5,1.759667845,land,yes,artiodactyla,"Mortola, 2015; Glover and Haigh, 1984",Tables 1 and 2,
Ovis,aries,sheep,53.3,1.726727209,96,bpm,96,1.982271233,land,yes,artiodactyla,"Mortola, 2015; Reefmann et al., 2009; Merck, 2012",Tables 1 and 2,
Ovis,canadensis,bighorn sheep,98,1.991226076,63,bpm,63,1.799340549,land,yes,artiodactyla,"Mortola, 2015; Johnston et al., 1980; MacArthur et al., 1979, 1982; Harlow et al., 1987; Weisenberger et al., 1996",Tables 1 and 2,
Pagophilus,groenlandicus,harp seal,48,1.681241237,106,bpm,106,2.025305865,aquatic,yes,carnivora,"Mortola, 2015; Lyamin et al., 1989",Tables 1 and 2,
