name,order,family,genus,species,mass,logmb,fr,logfr,habitat,adult,fasted,resting,tnz,nonrep,sedated
harbor seal,carnivora,Phocidae,Phoca,vitulina,77,1.886490725,6,0.77815125,aquatic,y,n,y,m,y,n
,,,,,,,,,,,,,,,
puma,carnivora,Felidae,Puma,concolor,77,1.886490725,38,1.579783597,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
hooded seal,carnivora,Phocidae,Cystophora,cristata,72,1.857332496,6.1,0.785329835,aquatic,n,n,n,m,y,n
,,,,,,,,,,,,,,,
mule deer,artiodactyla,Cervidae,Odocoileus,hemionus,72,1.857332496,11,1.041392685,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
harp seal,carnivora,Phocidae,Pagophilus,groenlandicus,70,1.84509804,12,1.079181246,aquatic,y,n,y,m,y,n
,,,,,,,,,,,,,,,
human,primates,Hominidae,Homo,sapiens,70,1.84509804,15,1.176091259,land,y,n,y,m,y,n
,,,,,,,,,,,,,,,
alpaca,artiodactyla,Camelidae,Vicugna,pacos,68,1.832508913,15,1.176091259,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
dall's sheep,artiodactyla,Bovidae,Ovis,dalli,66,1.819543936,36,1.556302501,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
jaguar,carnivora,Felidae,Panthera,onca,63,1.799340549,9,0.954242509,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
capybara,rodentia,Caviidae,Hydrochoerus,hydrochaeris,53,1.72427587,33,1.51851394,land,y,n,y,m,y,n
,,,,,,,,,,,,,,,
harbor porpoise,artiodactyla,Phocoenidae,Phocoena,phocoena,52,1.716003344,8.2,0.913813852,aquatic,y,n,n,m,n,n
,,,,,,,,,,,,,,,
domestic sheep,artiodactyla,Bovidae,Ovis,aries,50,1.698970004,54,1.73239376,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
domestic dog,carnivora,Canidae,Canis,lupus,39,1.591064607,21,1.322219295,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
snow leopard,carnivora,Felidae,Panthera,uncia,37,1.568201724,13,1.113943352,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
blackbuck,artiodactyla,Bovidae,Antilope,cervicapra,35,1.544068044,31,1.491361694,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
hippo,artiodactyla,Hippopotamidae,Hippopotamus,amphibius,30,1.477121255,4,0.602059991,aquatic,n,n,y,m,y,n
,,,,,,,,,,,,,,,
mandrill,primates,Cercopithecidae,Mandrillus,sphinx,26,1.414973348,17,1.230448921,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
bottlenose dolphins,artiodactyla,Delphinidae,Tursiops,truncatus,24,1.380211242,2.4,0.380211242,aquatic,n,n,y,m,y,n
,,,,,,,,,,,,,,,
beaver,rodentia,Castoridae,Castor,canadensis,22,1.342422681,33,1.51851394,aquatic,y,n,y,m,m,n
,,,,,,,,,,,,,,,
domestic goat,artiodactyla,Bovidae,Capra,hircus,22,1.342422681,37,1.568201724,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
grey seal,carnivora,Phocidae,Halichoerus,grypus,19,1.278753601,33,1.51851394,aquatic,n,n,y,m,y,n
,,,,,,,,,,,,,,,
muntjac,artiodactyla,Cervidae,Muntiacus,reevesi,14,1.146128036,26,1.414973348,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
spotted-necked otter,carnivora,Mustelidae,Lutra,maculicollis,12,1.079181246,22,1.342422681,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
colobus,primates,Cercopithecidae,Colobus,guereza,12,1.079181246,15,1.176091259,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
african clawless otter,carnivora,Mustelidae,Aonyx,capensis,11,1.041392685,16,1.204119983,aquatic,y,n,y,m,y,n
,,,,,,,,,,,,,,,
river otter,carnivora,Mustelidae,Lontra,canadensis,11,1.041392685,17,1.230448921,aquatic,y,n,y,m,y,n
