name,order,family,genus,species,mass,logmb,fr,logfr,habitat,adult,fasted,resting,tnz,nonrep,sedated,Primary Source,Secondary Source (if used),Number of Animals,Notes
,,,,,,,,,,,,,,,,,,,
harbor seal,carnivora,Phocidae,Phoca,vitulina,77,1.886490725,6,0.77815125,aquatic,y,n,y,m,y,n,"Mortola and Limoges, 2006",,3,"resting, on land"
,,,,,,,,,,,,,,,,,,,
puma,carnivora,Felidae,Puma,concolor,77,1.886490725,38,1.579783597,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,1,lying down
,,,,,,,,,,,,,,,,,,,
mule deer,artiodactyla,Cervidae,Odocoileus,hemionus,72,1.857332496,11,1.041392685,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,3,lying down
,,,,,,,,,,,,,,,,,,,
harp seal,carnivora,Phocidae,Pagophilus,groenlandicus,70,1.84509804,12,1.079181246,aquatic,y,n,y,m,y,n,"Mortola and Limoges, 2006",,2,"resting, on land"
,,,,,,,,,,,,,,,,,,,
human,primates,Hominidae,Homo,sapiens,70,1.84509804,15,1.176091259,land,y,n,y,m,y,n,Hugh Jones 1978,,1+,
,,,,,,,,,,,,,,,,,,,
alpaca,artiodactyla,Camelidae,Vicugna,pacos,68,1.832508913,15,1.176091259,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,2,standing still
,,,,,,,,,,,,,,,,,,,
dall's sheep,artiodactyla,Bovidae,Ovis,dalli,66,1.819543936,36,1.556302501,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,2,lying down
,,,,,,,,,,,,,,,,,,,
jaguar,carnivora,Felidae,Panthera,onca,63,1.799340549,9,0.954242509,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,2,lying down
,,,,,,,,,,,,,,,,,,,
capybara,rodentia,Caviidae,Hydrochoerus,hydrochaeris,53,1.72427587,33,1.51851394,land,y,n,y,m,y,n,"Mortola and Limoges, 2006",,3,
,,,,,,,,,,,,,,,,,,,
harbor porpoise,artiodactyla,Phocoenidae,Phocoena,phocoena,52,1.716003344,8.2,0.913813852,aquatic,y,n,n,m,n,n,"Elmegaard, McDonald, and Madsen, 2019",,2,very low activity
,,,,,,,,,,,,,,,,,,,
domestic sheep,artiodactyla,Bovidae,Ovis,aries,50,1.698970004,54,1.73239376,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,1,lying down
,,,,,,,,,,,,,,,,,,,
domestic dog,carnivora,Canidae,Canis,lupus,39,1.591064607,21,1.322219295,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,6,lying down
,,,,,,,,,,,,,,,,,,,
snow leopard,carnivora,Felidae,Panthera,uncia,37,1.568201724,13,1.113943352,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,1,lying down
,,,,,,,,,,,,,,,,,,,
blackbuck,artiodactyla,Bovidae,Antilope,cervicapra,35,1.544068044,31,1.491361694,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,1,standing still
,,,,,,,,,,,,,,,,,,,
mandrill,primates,Cercopithecidae,Mandrillus,sphinx,26,1.414973348,17,1.230448921,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,1,seated
,,,,,,,,,,,,,,,,,,,
beaver,rodentia,Castoridae,Castor,canadensis,22,1.342422681,33,1.51851394,aquatic,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,6,
,,,,,,,,,,,,,,,,,,,
domestic goat,artiodactyla,Bovidae,Capra,hircus,22,1.342422681,37,1.568201724,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,3,lying down
,,,,,,,,,,,,,,,,,,,
muntjac,artiodactyla,Cervidae,Muntiacus,reevesi,14,1.146128036,26,1.414973348,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,1,standing still
,,,,,,,,,,,,,,,,,,,
spotted-necked otter,carnivora,Mustelidae,Lutra,maculicollis,12,1.079181246,22,1.342422681,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,1,lying down
,,,,,,,,,,,,,,,,,,,
colobus,primates,Cercopithecidae,Colobus,guereza,12,1.079181246,15,1.176091259,land,y,n,y,m,m,n,"Mortola and Lanthier, 2005",,1,seated
,,,,,,,,,,,,,,,,,,,
african clawless otter,carnivora,Mustelidae,Aonyx,capensis,11,1.041392685,16,1.204119983,aquatic,y,n,y,m,y,n,"Mortola and Limoges, 2006",,2,"resting, on land"
,,,,,,,,,,,,,,,,,,,
river otter,carnivora,Mustelidae,Lontra,canadensis,11,1.041392685,17,1.230448921,aquatic,y,n,y,m,y,n,"Mortola and Limoges, 2006",,2,"resting, on land"
