name,order,family,genus,species,mass,logmb,rmr,logrmr,habitat,notes,adult,fasted,resting,tnz,nonrep
tiger,carnivora,Felidae,Panthera,tigris,137.9,2.139564266,2879.4,3.459302,land,some doubt of whether animal was an adult and non-reproductive,y,y,y,y,y
bearded seal,carnivora,Phocidae,Erignathus,barbatus,121.7,2.085290578,3103,3.491781776,aquatic,some doubt of whether animal was an adult,y,y,y,y,y
waterbuck,artiodactyla,Bovidae,Kobus,ellipsiprymnus,100,2,3200.835821,3.505263399,land,,y,m,y,y,m
lion,carnivora,Felidae,Panthera,leo,98,1.991226076,2034.48,3.308453425,land,,y,y,y,y,y
california sea lion,carnivora,Otariidae,Zalophus,californianus,96.75,1.985650974,5367.7825,3.72979491,aquatic,some doubt of whether data was measured during thermoneutral conditions,y,y,y,y,y
harbor seal,carnivora,Phocidae,Phoca,vitulina,86.8,1.938519725,3614.4,3.558036214,aquatic,,y,y,y,y,y
pactific white-sided dolphin,artiodactyla,Delphinidae,Lagenorhynchus,obliquidens,80,1.903089987,7700,3.886490725,aquatic,"some doubt of whether animal was an adult, non-reproductive, and measured in thermoneutrality",y,y,y,y,y
human,primates,Hominidae,Homo,sapiens,70,1.84509804,1771.2,3.248267604,land,,y,y,y,y,y
spotted seal,carnivora,Phocidae,Phoca,largha,69.5,1.841984805,2497,3.397418542,aquatic,,y,y,y,y,y
bighorn sheep,artiodactyla,Bovidae,Ovis,canadensis,69.125,1.839635144,2294.4,3.360669134,land,,y,y,y,y,y
jaguar,carnivora,Felidae,Panthera,onca,69,1.838849091,1540.08,3.187543281,land,some doubt of whether data was measured during thermoneutral conditions,y,y,y,y,y
red deer,artiodactyla,Cervidae,Cervus,elaphus,58,1.763427994,1970.4,3.294554399,land,some doubt of whether data was measured during thermoneutral conditions,y,y,m,y,y
white-tailed deer,artiodactyla,Cervidae,Odocoileus,virginianus,51.19,1.70918513,1377.72,3.139160963,land,,y,y,y,y,y
aardvark,tubulidentata,Orycteropodidae,Orycteropus,afer,48,1.681241237,737.28,2.867632453,land,,y,y,y,y,y
giant armadillo,cingulata,Dasypodidae,Priodontes,maximus,45.19,1.655042341,363.23,2.560181711,land,,y,y,y,y,y
black bear,carnivora,Ursidae,Ursus,americanus,42.97,1.633165354,1423.17,3.15325678,land,,y,y,y,y,y
sheep,artiodactyla,Bovidae,Ovis,aries,42.7,1.630427875,1150.8,3.060999853,land,,y,y,y,y,y
chimpanzee,primates,Hominidae,Pan,troglodytes,38,1.579783597,1135.44,3.05516419,land,,y,y,m,y,y
cheetah,carnivora,Felidae,Acinonyx,jubatus,37.9,1.57863921,1077.84,3.032554297,land,some doubt of whether data was measured during thermoneutral conditions,y,y,y,y,y
pronghorn,artiodactyla,Antilocapridae,Antilocapra,americana,37.8,1.5774918,1239.89,3.093383157,land,,y,y,y,y,y
cougar,carnivora,Felidae,Puma,concolor,37.2,1.57054294,1061.04,3.025731757,land,"27-year old male killer whale, awake, rested, with overnight fasting conditions, measured in the water next to surface, with water temperature of 13 degrees celsius, average of 3 trials",y,y,y,y,y
gray wolf,carnivora,Canidae,Canis,lupus,35.5,1.550228353,993.8652,2.997327484,land,,y,y,y,m,y
striped hyena,carnivora,Hyaenidae,Hyaena,hyaena,34.3,1.53529412,687.36,2.837184255,land,,y,y,y,y,y
red kangaroo,diprotodontia,Macropodidae,Macropus,rufus,32.49,1.511749711,695.58,2.842347086,land,"38.6 degrees celsius, some doubt on whether animal was adult",y,y,y,m,m
giant anteater,pilosa,Myrmecophagidae,Myrmecophaga,tridactyla,30.6,1.485721426,312.48,2.494822226,land,"two 12 yrs., semidomesticated, female muskoxen, faster for 6 days, resting",y,y,y,y,y
